,val RMSE,embedding dimention,learning rate,epochs
0,0.9577291111952134,16,0.0001,50
1,0.9583702130194837,32,0.0001,50
2,0.9595764950661098,64,0.0001,50
3,0.9621141959991469,128,0.0001,50
4,0.9681854120669658,256,0.0001,50
5,0.9072591830972478,16,0.001,50
6,0.907222907104225,32,0.001,50
7,0.9035490898571659,64,0.001,50
8,0.904003372872738,128,0.001,50
9,0.9062204748516725,256,0.001,50
10,0.9748066103536372,16,0.1,50
11,1.0131428624074026,32,0.1,50
12,1.0560087706899617,64,0.1,50
13,1.8813527719051795,128,0.1,50
14,1.8813527719051795,256,0.1,50
15,1.8813527719051795,16,1.0,50
16,1.8813527719051795,32,1.0,50
17,1.8813527719051795,64,1.0,50
18,1.8813527719051795,128,1.0,50
19,1.8813527719051795,256,1.0,50
20,0.9344143896826609,16,0.0001,100
21,0.934998264503952,32,0.0001,100
22,0.9363529536129302,64,0.0001,100
23,0.9393197894188473,128,0.0001,100
24,0.9446592799832119,256,0.0001,100
25,0.8858401760833577,16,0.001,100
26,0.8840619130694113,32,0.001,100
27,0.8864971316452838,64,0.001,100
28,0.892916939148822,128,0.001,100
29,0.900132478075066,256,0.001,100
30,0.9740580747114798,16,0.1,100
31,1.0167786200845632,32,0.1,100
32,1.0569518377005114,64,0.1,100
33,1.8813527719051795,128,0.1,100
34,1.8813527719051795,256,0.1,100
35,1.8813527719051795,16,1.0,100
36,1.8813527719051795,32,1.0,100
37,1.8813527719051795,64,1.0,100
38,1.8813527719051795,128,1.0,100
39,1.8813527719051795,256,1.0,100
40,0.9180963245223799,16,0.0001,250
41,0.9187010471174117,32,0.0001,250
42,0.9198925893544337,64,0.0001,250
43,0.9204328827593133,128,0.0001,250
44,0.9239521217622678,256,0.0001,250
45,0.8824159569471413,16,0.001,250
46,0.899981819813148,32,0.001,250
47,0.91862905325341,64,0.001,250
48,0.9235104804269214,128,0.001,250
49,0.9118848067067891,256,0.001,250
50,0.9751106289092455,16,0.1,250
51,1.0157471672738998,32,0.1,250
52,1.0569092883902431,64,0.1,250
53,1.8813527719051795,128,0.1,250
54,1.8813527719051795,256,0.1,250
55,1.8813527719051795,16,1.0,250
56,1.8813527719051795,32,1.0,250
57,1.8813527719051795,64,1.0,250
58,1.8813527719051795,128,1.0,250
59,1.8813527719051795,256,1.0,250
60,0.9098848040911236,16,0.0001,500
61,0.9071381973760008,32,0.0001,500
62,0.9045880247643534,64,0.0001,500
63,0.9047676724236623,128,0.0001,500
64,0.9066948765093976,256,0.0001,500
65,0.8964196321546596,16,0.001,500
66,0.9255926410174186,32,0.001,500
67,0.948190558219502,64,0.001,500
68,0.9380470300573204,128,0.001,500
69,0.9103960069188017,256,0.001,500
70,0.9738452267391802,16,0.1,500
71,1.0173386649733893,32,0.1,500
72,1.0564008984443194,64,0.1,500
73,1.8813527719051795,128,0.1,500
74,1.8813527719051795,256,0.1,500
75,1.8813527719051795,16,1.0,500
76,1.8813527719051795,32,1.0,500
77,1.8813527719051795,64,1.0,500
78,1.8813527719051795,128,1.0,500
79,1.8813527719051795,256,1.0,500
80,0.8886723069414991,16,0.0001,1000
81,0.8858914826227205,32,0.0001,1000
82,0.8902112651170828,64,0.0001,1000
83,0.8936963627254595,128,0.0001,1000
84,0.9001314622161232,256,0.0001,1000
85,0.9047391015591618,16,0.001,1000
86,0.9414574314036274,32,0.001,1000
87,0.9615297487363309,64,0.001,1000
88,0.9455341909411333,128,0.001,1000
89,0.9049128631365052,256,0.001,1000
90,0.9746025042580528,16,0.1,1000
91,1.014767817039196,32,0.1,1000
92,1.0560933811055937,64,0.1,1000
93,1.8813527719051795,128,0.1,1000
94,1.8813527719051795,256,0.1,1000
95,1.8813527719051795,16,1.0,1000
96,1.8813527719051795,32,1.0,1000
97,1.8813527719051795,64,1.0,1000
98,1.8813527719051795,128,1.0,1000
99,1.8813527719051795,256,1.0,1000
