,RMSE,latent dimentions,lambda,learning rate,epochs
67,1.2186890324475836,100,0.001,0.001,500
68,1.261234724507981,100,0.001,0.001,750
69,1.0376262830259182,100,0.001,0.0001,250
70,1.0371244050959056,100,0.001,0.0001,500
71,1.0341726907538182,100,0.001,0.0001,750
72,0.9971373676411509,100,0.1,0.1,250
73,0.9887646078823124,100,0.1,0.1,500
74,0.9961733675504597,100,0.1,0.1,750
75,1.1227304109893828,100,0.1,0.01,250
76,1.115190165435201,100,0.1,0.01,500
77,1.11734351998282,100,0.1,0.01,750
78,1.0835552939324586,100,0.1,0.001,250
79,1.113438300854124,100,0.1,0.001,500
80,1.1170658682199717,100,0.1,0.001,750
81,1.0435455207131679,100,0.1,0.0001,250
82,1.0344177700697752,100,0.1,0.0001,500
83,1.02845937440387,100,0.1,0.0001,750
84,0.9862388439446423,100,1.0,0.1,250
85,0.9847847478693227,100,1.0,0.1,500
86,0.9839353702978362,100,1.0,0.1,750
87,0.9901835210277167,100,1.0,0.01,250
88,0.982782741047389,100,1.0,0.01,500
89,0.9913182957684812,100,1.0,0.01,750
90,0.9890159906121406,100,1.0,0.001,250
91,0.9813607565568033,100,1.0,0.001,500
92,0.9769152460244896,100,1.0,0.001,750
93,1.0381459750758082,100,1.0,0.0001,250
94,1.0103289616139413,100,1.0,0.0001,500
95,0.9967516477318052,100,1.0,0.0001,750
96,0.9860145516034475,100,100.0,0.1,250
97,0.9841836087813738,100,100.0,0.1,500
98,0.9832271149826731,100,100.0,0.1,750
99,0.9795711734954963,100,100.0,0.01,250
100,0.9795779570264808,100,100.0,0.01,500
101,0.9795154952996912,100,100.0,0.01,750
102,0.9864619684394773,100,100.0,0.001,250
103,0.9786977478765222,100,100.0,0.001,500
104,0.9781003050368601,100,100.0,0.001,750
105,1.1344137750238594,100,100.0,0.0001,250
106,1.048873468880966,100,100.0,0.0001,500
107,1.0194486362638029,100,100.0,0.0001,750
108,0.9866532906675901,100,1000.0,0.1,250
109,0.9844163778176863,100,1000.0,0.1,500
110,0.9832197970880288,100,1000.0,0.1,750
111,0.9796983118165862,100,1000.0,0.01,250
112,0.9796948797499783,100,1000.0,0.01,500
113,0.9796954118315154,100,1000.0,0.01,750
114,0.979914977199932,100,1000.0,0.001,250
115,0.9795669982166575,100,1000.0,0.001,500
116,0.9796217916156285,100,1000.0,0.001,750
117,1.5971943515718832,100,1000.0,0.0001,250
118,1.2539354756210486,100,1000.0,0.0001,500
119,1.0931021004899046,100,1000.0,0.0001,750
120,1.2853126016602987,250,0.001,0.1,250
121,1.3797056937435281,250,0.001,0.1,500
122,1.390959552937877,250,0.001,0.1,750
123,1.39564285269156,250,0.001,0.01,250
124,1.45939023928707,250,0.001,0.01,500
125,1.4783378516305679,250,0.001,0.01,750
126,1.1145498965463034,250,0.001,0.001,250
127,1.1568669906429583,250,0.001,0.001,500
128,1.1708893303095214,250,0.001,0.001,750
129,1.0379262398482108,250,0.001,0.0001,250
130,0.9989008251502164,250,0.001,0.0001,500
131,1.0188815151813977,250,0.001,0.0001,750
132,0.9946112847375952,250,0.1,0.1,250
133,1.0191673636449268,250,0.1,0.1,500
134,0.9981133000645577,250,0.1,0.1,750
135,1.105356903777977,250,0.1,0.01,250
