,loss,MAP,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10,learnig rate,Number of Epochs,nh,nv
0,0.23405371697153896,0.16989299284455792,0.2544701986754967,0.2194039735099338,0.1947019867549669,0.02187145781917695,0.08854349521103762,0.15302833401144608,0.001,30,8,2
1,0.5051863652421161,0.12451918376866604,0.19105960264900662,0.16874172185430464,0.15152317880794702,0.01388176524969157,0.05941528547746976,0.10363557740679585,0.0001,30,8,2
2,0.22295039200689643,0.17079406551057288,0.24370860927152319,0.21903973509933775,0.19872516556291395,0.020443351069360953,0.08969450943014257,0.15608104331015119,0.001,30,8,4
3,0.48314989514183254,0.13306479917845954,0.20894039735099337,0.18158940397350998,0.1637086092715232,0.015225139573681129,0.0633662966441652,0.11204198320937381,0.0001,30,8,4
4,0.21549075681250543,0.17182662160712275,0.2594370860927152,0.21970198675496688,0.1970860927152318,0.022262323992683453,0.0895230262433588,0.15543993803426295,0.001,30,8,8
5,0.4677402434404939,0.1365414008598687,0.2097682119205298,0.18473509933774837,0.16806291390728478,0.015276298906043196,0.06552441141335029,0.11522346219482753,0.0001,30,8,8
6,0.2299053335795179,0.17008159937990286,0.2513245033112583,0.21672185430463575,0.19498344370860932,0.02096296573104723,0.08832442175653595,0.15498271564960978,0.001,30,16,2
7,0.49975821524858477,0.12436499643214725,0.18658940397350993,0.1652317880794702,0.15274834437086096,0.013258379400825688,0.05813469506904745,0.10395673571812401,0.0001,30,16,2
8,0.2198499333579093,0.17443142651071475,0.2662251655629139,0.22158940397350996,0.19993377483443708,0.022576796920413807,0.09014973555805521,0.15868282785402654,0.001,30,16,4
9,0.47520143159199507,0.13409461263103686,0.2054635761589404,0.18019867549668875,0.16387417218543046,0.014867857134418587,0.06405259347853734,0.11296806108087415,0.0001,30,16,4
10,0.21423803179059178,0.1720602623883238,0.24850993377483444,0.22049668874172187,0.19869205298013248,0.020567289326144572,0.09072246682888818,0.15706012534244304,0.001,30,16,8
11,0.45723597884643824,0.13918435152670247,0.2140728476821192,0.18973509933774835,0.17028145695364238,0.01539671435455869,0.06715525787134316,0.11774108212051308,0.0001,30,16,8
